,raw roi,group id
671,7908,0.0
158,1043,0.0
149,927,0.0
129,726,0.0
643,7435,0.0
481,5339,0.0
477,5314,0.0
81,371,0.0
286,2873,0.0
473,5270,0.0
621,7100,0.0
721,9136,0.0
278,2755,0.0
173,1289,0.0
726,9240,0.0
367,4156,0.0
646,7464,0.0
387,4405,0.0
366,4135,0.0
364,4123,0.0
147,836,0.0
282,2804,0.0
164,1105,0.0
739,9491,0.0
662,7795,0.0
306,3159,0.0
667,7853,0.0
596,6724,0.0
272,2700,0.0
754,9824,0.0
753,9817,0.0
206,1666,0.0
156,1034,0.0
104,512,0.0
660,7765,0.0
506,5509,0.0
664,7807,0.0
575,6340,0.0
322,3456,0.0
615,6986,0.0
197,1579,0.0
499,5460,0.0
443,5115,0.0
683,8361,0.0
194,1569,0.0
679,8191,0.0
275,2738,0.0
372,4251,1.0
470,5253,1.0
647,7529,1.0
284,2850,1.0
88,405,1.0
335,3695,1.0
118,607,1.0
674,7935,1.0
63,277,1.0
84,389,1.0
113,563,1.0
390,4503,1.0
412,4839,1.0
10,50,1.0
602,6814,1.0
436,5095,1.0
393,4570,1.0
581,6420,1.0
637,7361,1.0
447,5121,1.0
199,1623,1.0
192,1544,2.0
620,7079,2.0
297,3038,2.0
298,3049,2.0
571,6238,2.0
616,7022,2.0
126,685,2.0
153,1014,2.0
622,7133,2.0
120,614,2.0
517,5603,2.0
599,6778,2.0
666,7817,2.0
598,6766,2.0
116,598,2.0
516,5600,2.0
221,1834,2.0
299,3054,2.0
568,6214,2.0
524,5656,2.0
522,5648,2.0
536,5773,2.0
634,7326,2.0
264,2583,2.0
262,2557,2.0
261,2545,2.0
645,7452,2.0
260,2529,2.0
169,1196,2.0
547,5874,2.0
548,5880,2.0
277,2752,2.0
650,7589,2.0
530,5710,2.0
553,5966,2.0
529,5689,2.0
556,6028,2.0
560,6089,2.0
285,2859,2.0
287,2874,2.0
561,6100,2.0
238,2124,2.0
183,1376,2.0
152,985,2.0
627,7232,2.0
509,5542,2.0
424,5056,2.0
511,5548,2.0
405,4747,2.0
706,8811,2.0
64,278,2.0
708,8826,2.0
399,4636,2.0
445,5118,2.0
21,86,2.0
710,8888,2.0
713,8920,2.0
22,89,2.0
465,5226,2.0
37,150,2.0
25,101,2.0
720,9117,2.0
459,5203,2.0
722,9150,2.0
735,9338,2.0
457,5200,2.0
448,5122,2.0
31,120,2.0
43,172,2.0
386,4401,2.0
40,162,2.0
39,155,2.0
461,5218,2.0
749,9745,2.0
439,5105,2.0
359,4058,2.0
510,5547,2.0
591,6668,2.0
103,503,2.0
503,5482,2.0
502,5480,2.0
431,5076,2.0
496,5445,2.0
7,39,2.0
92,441,2.0
91,424,2.0
703,8716,2.0
752,9785,2.0
432,5082,2.0
729,9287,2.0
688,8422,2.0
80,363,2.0
472,5258,2.0
79,361,2.0
476,5299,2.0
87,404,2.0
695,8508,2.0
696,8537,2.0
392,4538,3.0
14,64,3.0
429,5072,3.0
235,2076,3.0
750,9754,3.0
187,1481,3.0
605,6843,3.0
612,6975,3.0
29,114,3.0
633,7292,3.0
653,7618,3.0
69,302,3.0
501,5474,3.0
354,3973,3.0
375,4280,3.0
535,5767,3.0
532,5727,4.0
574,6331,4.0
353,3967,4.0
558,6054,4.0
340,3758,4.0
295,2977,4.0
334,3692,4.0
490,5409,4.0
417,5023,4.0
430,5073,4.0
315,3313,4.0
360,4060,4.0
368,4186,4.0
274,2719,4.0
369,4190,4.0
552,5930,4.0
245,2227,4.0
452,5155,4.0
564,6123,4.0
240,2155,4.0
455,5184,4.0
391,4511,4.0
382,4366,4.0
307,3203,4.0
569,6216,4.0
265,2593,4.0
570,6218,4.0
446,5120,4.0
273,2713,4.0
396,4596,4.0
0,9,4.0
592,6670,4.0
675,7975,4.0
655,7664,4.0
133,745,4.0
165,1154,4.0
736,9379,4.0
652,7609,4.0
139,777,4.0
693,8459,4.0
190,1498,4.0
176,1316,4.0
45,182,4.0
46,194,4.0
700,8652,4.0
712,8914,4.0
159,1047,4.0
635,7344,4.0
167,1172,4.0
44,176,4.0
617,7049,4.0
182,1373,4.0
668,7858,4.0
213,1728,4.0
111,539,4.0
3,16,4.0
755,9833,4.0
656,7697,4.0
681,8215,4.0
98,459,4.0
748,9714,4.0
704,8744,4.0
96,453,4.0
658,7733,4.0
342,3819,5.0
677,8052,5.0
485,5393,5.0
541,5786,5.0
513,5558,5.0
638,7366,5.0
534,5753,5.0
352,3953,5.0
474,5280,5.0
143,800,5.0
323,3503,5.0
514,5570,5.0
122,641,5.0
97,457,5.0
694,8483,5.0
140,787,5.0
138,772,5.0
657,7732,5.0
214,1738,5.0
362,4100,5.0
181,1360,5.0
732,9306,5.0
576,6343,5.0
607,6888,5.0
174,1292,5.0
625,7199,5.0
210,1692,5.0
551,5915,5.0
550,5907,5.0
589,6598,5.0
672,7920,5.0
422,5049,5.0
624,7146,5.0
747,9673,5.0
543,5832,5.0
580,6418,5.0
566,6126,5.0
438,5104,6.0
441,5112,6.0
685,8365,6.0
751,9783,6.0
8,40,6.0
427,5065,6.0
504,5500,6.0
423,5053,6.0
442,5114,6.0
495,5441,6.0
709,8879,6.0
742,9551,6.0
371,4250,6.0
464,5222,6.0
702,8682,6.0
462,5219,6.0
471,5256,6.0
77,356,6.0
47,198,6.0
723,9152,6.0
450,5129,6.0
480,5326,6.0
30,118,6.0
734,9332,6.0
691,8446,6.0
20,82,6.0
331,3635,6.0
686,8367,6.0
338,3745,6.0
678,8146,6.0
425,5057,6.0
180,1340,6.0
131,737,6.0
526,5682,6.0
178,1328,6.0
177,1320,6.0
248,2331,6.0
651,7592,6.0
531,5718,6.0
175,1315,6.0
554,5982,6.0
644,7441,6.0
642,7433,6.0
168,1181,6.0
640,7395,6.0
271,2693,6.0
185,1427,6.0
523,5650,6.0
542,5792,6.0
